track_id,recording_mbid,release_mbid,titulo,anio,mes,pais,release_group_mbid,tipo,fuente
TRAAIWW12903CA4BE6,ed164619-7cf8-4a45-bb39-b7b31fe826e9,bdd75dc2-8479-4e6c-a73c-1cefe5783020,Rounder Records 40th Anniversary Concert,2010,3,United States,67f200fe-b78f-4a65-9e5e-b8da14228d23,Album,musicbrainz
TRAAIXG128F4297071,45ba02f8-9a07-4d5d-99d1-f04275db6960,a1f39740-2dc2-4f85-b73b-23fcc2872311,Worldwide,1997,,Canada,e292c048-2783-422a-937f-f7b7ae7525ed,Album,musicbrainz
TRAAJAC128F148B530,40ca5d49-0e7e-4a85-919b-00e46c0ac087,35ec5418-f25e-4245-a4a3-33de2c3fe309,Can We Go Home Now,1995,,United States,280a1bf6-a31c-3f4b-9286-471a06eb4db8,Album,musicbrainz
TRAAJPJ128F9333092,0f6c5ddb-6e56-4e31-b65a-d1dae6c5e0dd,7d592447-aa43-4e56-9577-681cbdbb400a,Vintage 2 / Local Beatz,2009,7,[Worldwide],140c5b11-25ef-4436-ae3f-17da922cba3d,Album,musicbrainz
TRAAJUX128F931258F,28479c5b-b78f-4438-847b-656693b7ed1e,144b64be-b0a2-4436-af36-4182c8d36221,Plastic People,2002,5,Austria,d2ca4855-4f4c-3fd2-8498-9f15712a106a,Album,musicbrainz
TRAAKDP12903CACABD,1ee5031f-5cd8-470d-bc1d-655776cccaea,a684ebeb-db25-4f2d-adab-bee183cfbbeb,Greatest Hits,1998,8,United States,69f21616-1d38-3b5b-8bd0-efe83be0f66d,Album,musicbrainz
TRAAKIU12903CBEF3A,14e37f55-fb33-43dc-a480-84c56570b8fc,61fa9dd5-c006-4fbf-bb61-3e5313a08236,Psychic Maps,2009,6,[Worldwide],1a2d6c85-4958-468c-9e99-0ddfb15956bc,Album,musicbrainz
TRAAKPL128F42925A9,8ce36b04-70e3-47c6-9d78-893990eafc7c,36b6b2a6-7a7f-40cc-af8d-b0da4ed8ea82,Greatest Funk Classics,2001,,United States,599f4122-57a2-4d44-a329-99d584dddb45,Album,musicbrainz
TRAAKSP128F9315A7E,cdfbf596-5e2a-4848-84de-75a2ee452544,b538c22a-e6bf-40cf-8243-4863ea948161,Do You Remember When / While the Lights Are Low,1996,,United Kingdom,994690d4-4a46-303f-a547-d03c3851ed2e,Album,musicbrainz
TRAAKTM128F14A0011,b0d95ff8-4690-4f00-b684-144cd91723f1,1f882001-dde6-45d2-aaa1-b111b7bb4cbe,Big Pack,2001,,Germany,551ebb4f-d8ec-3a8c-8bcd-f90e8ba6dd83,Album,musicbrainz
TRAAKWR128F931B29F,7d0012d4-63b9-494c-8d79-50bfb124edb7,1fefaaa4-ee43-415d-9851-8fea3c43a970,Parade + Live at NEARfest,2005,5,United States,49dbff8c-bf94-393b-b90e-b6f1acaafa85,Album,musicbrainz
TRAAKYE128F93120B4,d8d6cba2-3673-4004-afcc-fd04b16b3d11,0d79c834-8442-4903-990d-a5f209379b78,A Little More Faith,1961,,United States,9c8ad273-d77d-3459-b7db-c14a1153d6bf,Album,musicbrainz
TRAALDI128EF35F6DD,c7539e68-958e-4488-a6ee-83b8be1d8316,33b1fb06-19b5-446c-8b7b-129bb4cf140e,Happiness,1993,,United States,2dc3ebe2-4cd7-37e2-ae45-236d124417b3,Album,musicbrainz
TRAALJZ128F428EA4F,903a03c8-8a1f-478a-9ebe-50ad80b56f16,c7f4be9b-b468-44ec-aa1c-e2ac97c5cbfb,The 100 Best Jazz Tunes of the 1950’s,2011,5,United States,93276170-dedf-41e8-a352-31e07e2e7e7a,Album,musicbrainz
TRAALQA12903D0DC75,0f123ecc-79c2-4d76-a2af-e2db806d3607,388c8d29-ce54-4259-b14c-4028f5aa25eb,African Dope Soundsystem,2004,1,South Africa,1c4075ad-142b-4b07-93bb-c51e4d7cc404,Album,musicbrainz
TRAALRQ128F92CF1A4,242db899-6d1c-4264-992b-6108b75dda7c,e721891e-9984-4cee-931e-b08353ee37d4,Def Comms 86-18,2018,9,United Kingdom,35c141fe-f397-4fc5-b228-36fcd013bdc8,Album,musicbrainz
TRAALSU128F4217A7D,61120975-4b59-4865-83bc-2e6edd78ee5d,23c7d67c-144f-4a6e-9bc2-8703e67be503,Néochrome II,2005,12,France,ed6cf6c0-772c-4222-8a84-d3a28c90c876,Album,musicbrainz
TRAALZN128F932D457,c18606f4-616a-4221-8199-a5c3d894f75e,829173ca-4a25-4416-9128-2db6ca16c4ed,The Best of the Rance Allen Group,2002,,Germany,dc24647b-eae7-32c7-82bc-8d2c441c5d9b,Album,musicbrainz
TRAAMFF12903CE8107,a19978ae-e298-463d-b8b3-a9b860a05c8a,14105e89-0c37-48d0-9b53-5ffcee0dd8a1,Waiting,2001,,Canada,8272231a-11fb-3987-942e-b49e578a0bd2,Album,musicbrainz
TRAAMGC128F42582D2,f9d527b6-6c25-48cd-aa21-77ca54524559,26dc58a8-481b-4672-a26e-fb7ea29c398b,Come On Primates Show Your Teeth!,2007,9,United Kingdom,c48dc7aa-76b1-3278-9a38-a7cdd105d229,Album,musicbrainz
TRAAMPA128F92E7D0D,3471d02e-f154-456d-bd66-563930468a4d,67c5df1f-cace-49ae-ac47-f04ea5c8c078,Enjoy!,1986,,United States,54e7a7cb-78f5-38cc-b515-bbd3d77f9c79,Album,musicbrainz
TRAAMUY128F4283222,ab64bcf5-037c-42a1-b599-c231afdef2dc,274637e1-a1ac-42e0-ba14-595f86082182,Intermission,2000,1,[Worldwide],ad703ec7-631e-44bc-ab11-ccfa61ea62a3,Album,musicbrainz
TRAAMWH128F424164B,0aa11c98-90b4-46be-b601-2b90600ad110,83a8969e-da16-4c35-b082-388397efb144,Free Life,2005,2,Sweden,aa96a656-575c-379e-8cb1-5671293ab6ac,Album,musicbrainz
TRAANCP128F426A9B7,f971e919-69fb-486f-ad10-6cfe03300d92,f04b48d1-79e5-416c-8103-368c3d0c0a7e,„Zugaben – Live“,2008,2,Germany,1d92bac9-8d83-4bb7-9b9f-ef68fe85e9eb,Album,musicbrainz
TRAANEA12903CF1452,8d18ae4f-ea40-42f6-942d-211e00488342,b9a488b3-bcce-4fd7-b26b-ed641e646be0,Corazón partío (Remezclas),1998,,Spain,5648f9d7-8ee7-3ce9-94f9-1e61e652b29c,Single,musicbrainz
TRAANTZ128F92EAEA6,bcda2c22-b95f-4bf6-bd04-c4b4e8b0ffba,bf1965bb-1411-4056-9e48-48465664e392,Ride Your Pony - Get Out of My Life Woman,2000,,United States,7db7e3b3-3b46-36c9-b72d-731ddae0e056,Album,musicbrainz
TRAANUW128F42A1B64,d21d9a13-270e-40d1-b146-84c9f45bc22a,53f35f97-9c52-4952-8003-3d6e7186519a,Trance 2000,1999,,United Kingdom,c1970b27-cecd-3cf4-bfd1-b1720d5dde1d,Album,musicbrainz
TRAANYI12903CF5C63,db0e18bf-e47d-4743-9fe0-24b4cfd191c2,79b0a0fd-a119-4339-8308-61247f5e0f53,The World Keeps Turning EP,1992,7,United Kingdom,b8658262-cd3c-33f7-8fe3-f5cea0eb95da,EP,musicbrainz
TRAANZZ128F4287625,51c322d3-cf4b-4e93-88b5-0fa15997c32f,a38613bb-aa0c-40af-b35b-37c6bf069777,I'm Blue as a Man Can Be,1993,,United States,c8ad8d1c-6eec-3704-8588-78ce1f9d20b9,Album,musicbrainz
TRAAOAG128E078A3C0,f7a6b142-a3bd-4fec-86a9-859e24d35b3d,ad4f6cbb-207b-322a-b915-b2681924f1a7,Bajofondo Tango Club: Supervielle,2004,,Argentina,48a54b4d-4e3b-31f7-88a4-3653f20d1ca1,Album,musicbrainz
TRAAODR128F146155C,84ca99e3-e618-4936-a273-d5081700e848,97ef41bf-c648-4791-8ee3-96f4e2353025,Music: A Part of Me,1966,,United States,d542c041-b73a-417a-8378-ee1fe5c8831f,Album,musicbrainz
TRAAOFS128F9309414,b098ffbe-a701-49eb-b768-2e000bbae3b1,df3de131-9225-4c29-9c1e-42a78f7d14b0,Till the Wheels Fall Off,2009,1,United States,ee06c842-e83b-4cd9-adaa-1730a6e74ade,Album,musicbrainz
TRAAORB128F930A97F,6cf4faa2-32d7-4d67-a136-63a0712655e3,de15a89b-c06c-4e10-923c-c7bed7173f86,Down to the Well,2005,5,United States,1dc29ace-50f6-3fcd-b37d-b55b5fc907c3,Album,musicbrainz
TRAAOYP128F425EEB5,d372a120-ddd9-43d5-96de-6fd152174774,4aa7a954-f7c9-42a3-aae1-6996c0e646ca,Attitudes,2004,1,France,f584bb2c-bdd0-3fb8-9d43-62e1f045a3c7,Album,musicbrainz
TRAAPKW128F428BC93,3d5eddae-6510-4f6d-8172-aac47ceb7d1e,4a349a4d-d334-419a-b7ca-e63a35ae584e,A Hot Piece of Grass,2005,6,United Kingdom,0737c4b8-feca-3e37-bba0-ad4486473086,Album,musicbrainz
TRAAPPQ128F14961F5,efd2f0a4-77cf-4207-a4f1-88f7c349fe83,8a01d8cb-52dd-464f-9f3f-82feed851ee2,Bouncing off the Satellites,1986,9,United States,f219381e-f4a2-3c33-8544-47febfae8837,Album,musicbrainz
TRAAQAL128F92EA7A7,00404396-367a-45f1-80f6-a4ae93dc7cdd,e880a701-ba69-4501-b5e8-eaa5739078f0,Ich bin den weiten Weg gegangen,2005,12,Germany,27d65308-aef4-4048-8e05-4709b0bfa0f7,Album,musicbrainz
TRAAQCV128F9327B59,8fff5a7d-6b4a-4386-b7aa-5596f936756d,6863ea69-9ceb-48ae-9539-1cd15a9dfa14,Was Besonderes,1998,,Germany,4fd31fa4-5ced-325a-acfa-9eea7cbbd268,Album,musicbrainz
TRAAQDV12903CCC189,491e6721-4799-4c37-9e67-554689dd8858,c70ae79f-d8a2-4ccf-a217-d83b5d81fd19,Volume Control,1980,11,United Kingdom,acd2f791-51d7-37af-a5f5-bfdd95e5c6e7,Single,musicbrainz
TRAAQLF128F427822C,1d761bc8-59c6-4c5e-bfcc-3bceb11bbccc,cde578e1-758d-4f85-940b-1bbdd5ab3805,What a Wonderful World,1988,,United States,156d40bf-c98a-3144-8925-ecfb7d4cf9df,Album,musicbrainz
TRAAQWF128F92D1AAD,4f309f4b-69dd-4dcd-8353-e10fe99f0e23,f8ec8f5b-6820-418c-8dd5-fdabdaaa6acc,Music Of The Brazilian Masters,1989,,United States,55cb8460-7b01-4913-87f0-114d3ed67e93,Album,musicbrainz
TRAARCK128F425B514,2edad6c5-5a2a-48fb-9495-f2b7917fa11e,76ab8ad5-ce0c-41c3-b9c2-ce2402411f5f,Semitones in Darkness,2003,4,Germany,49f8b8ad-aa4b-3718-b759-eb25a2666816,EP,musicbrainz
TRAARFE12903CAF4B6,118239cc-34f5-49c7-9e4d-b7a7d9aa873a,f11950b6-4a05-43c0-b7d2-646ef4c4c10f,Ride Slow,2009,11,United Kingdom,f9144e39-b907-4969-a6cc-e7e076a0e1df,Album,musicbrainz
TRAARIH128F146542C,a7c94540-4298-4245-b0e8-3a7edbc1d755,a2f9e6f6-b63c-4513-8c39-28cdeadf358a,Just a Place in the Sun,2001,,France,5f402a84-3b8c-3de1-ac93-5dca8974ef46,Album,musicbrainz
TRAARLG128F149E87E,689d8931-d9a0-41d0-92d0-d24444c4ad9d,746c471e-c9f7-4397-875f-f4049660fa07,Sings the Blues,1972,,United States,501d105b-2210-4339-a5dc-f63e3d724a38,Album,musicbrainz
TRAARWB128F14A9496,80e82f91-078d-4fc7-bc6f-b71d6e61395e,4b4b1d57-9c1a-4ed3-b726-f28aed61c726,Stalled Out in the Doorway,2006,,Canada,9f3970b4-9543-38f7-8496-67ba2badf7dd,Album,musicbrainz
TRAARYN128F92D687A,511b2a03-855a-4edc-826a-dd80528e57b9,fe5b8427-343c-3310-ab58-04d36b1374a1,Mond,2005,9,Germany,d0fdf73f-2278-3552-b527-0a5fd76c39a0,Album,musicbrainz
TRAASES128F92EEC4C,2a31370e-fac3-425c-824f-3c9838b3ac11,32b0f8b8-f1ee-4355-9ea1-70bd80f64695,Kiko & Shara,,,,f33ceebe-6c32-4689-8493-8267003a246f,Album,musicbrainz
TRAASLO128F92DFAC5,92a75aaa-3727-4737-b4db-f5a5ee5bc031,b6b4ad79-6caf-4cf5-9a83-28ced07faa5a,Live From the Short Attention Span Audio Theater Tour,2005,,Canada,feacead0-cda6-350b-bf9b-5117f646dc79,Album,musicbrainz
TRAASNR12903CB443D,27c9d5ae-4c60-4a4f-ab5c-a474b75c6548,1d122558-8d11-4004-bba4-63bc8a7a31f7,Heidi: Music from the Original Motion Picture,2006,,Japan,7a027ac1-6769-4bba-b944-8edd97d2d518,Album,musicbrainz
TRAASQC128F93480F0,7f137e9b-2d3f-4687-a84b-4b3b9295732a,b108d067-4f50-4793-a82c-345c6463384d,Revolutions Per Minute,2003,4,United States,d8b02e7c-9268-3954-abfb-607d1400613f,Album,musicbrainz
TRAASUZ128F9314950,3bc8b9cd-27b0-4ccf-94b0-22a7c25a7714,864bfddc-c1d1-3484-973c-4702accfc236,Issues,1999,11,Europe,c7497ce4-c746-3a75-946e-daa8ab117c47,Album,musicbrainz
TRAATFW128F14957A8,911d989e-9cf8-4558-9b75-11d1c3e6bf11,de960af7-514a-44e1-918e-44531b2c8c45,Banana Wind,1996,6,United States,207e254f-8fa6-3b74-8b7c-73b8dd6c0d32,Album,musicbrainz
TRAATQY128F1470E34,acec8308-25db-43bc-97cf-5b2d177e4e25,9fb6a057-8629-44c9-9e95-1531a78d18ba,Sol en cinco,1995,,Argentina,f17ccfd0-d919-3118-9e7b-24ffc5bda766,Album,musicbrainz
TRAATXO128F92D97A6,188aa359-4b8a-4874-9fdb-b03d41873080,fe103ae2-553f-468c-9448-4b76f53189dd,"Rock, Rhythm and Doo Wop, Volume 2: More of the Great Songs From Early Rock ’n’ Roll",,,,a5f79190-5705-3f72-93f1-927160fe9dab,Album,musicbrainz
TRAATYZ128F4256545,f156acfb-787a-4993-99b2-485bcba112d5,bae3d67d-44b4-4202-a229-b2fe4d2c85c8,Tasavallan Presidentti,1971,,Finland,e1835b9e-e8ba-3765-ab22-af880b3d3d5b,Album,musicbrainz
TRAATZQ128F425E5F1,538c5dd2-e48a-4e35-b5e8-9eb5b267c2ee,4196dc0a-ab13-4602-b4e3-bc2a15165626,Ritm'o,1988,,France,490a8acc-dd19-46ba-9e67-0240ebc1176b,Album,musicbrainz
TRAAUMN128F4273561,3ff0f4f2-16dd-4936-8681-a293f9b01802,b8faa088-a775-4206-a7ae-10637576877c,Candy From a Stranger,1998,5,United States,448e7729-f0f1-31d9-891e-24c3902cad01,Album,musicbrainz
TRAAUZI12903CAFD53,8d127ef1-1e7e-4e18-b17d-820c31488216,f4ce8e02-a323-475a-b015-1c3e70ec3e02,Ultimate Happy Hardcore 3,2009,,Netherlands,111f9bad-4149-478e-b324-8d4bf71753d6,Album,musicbrainz
TRAAVET128F42A4EE1,f09b19b2-8c48-46eb-b0d4-9747ba81cb43,3cbfb43e-ddb9-42e4-9eff-e2dcbdbcf44d,The Early Years,2007,6,[Worldwide],84708d44-c59e-427d-b149-d6e51a3e4b98,Album,musicbrainz
TRAAVIS128F931A7CD,08340893-a458-424e-955e-5cede31d4d7b,ebb158c1-fe5f-322f-adc0-798522380366,Desafinado,1962,10,United States,b5ccb813-0ccf-3c79-b8e3-94dd6cfdae93,Album,musicbrainz
TRAAVRQ128F4258E41,2c871d40-b51c-4de2-84f0-0c1a134d79f7,a13d04b3-3424-45f2-9768-73b9ff6b5976,Ran,2002,11,Japan,89654a36-3925-3d35-a459-7397a3caa667,Album,musicbrainz
TRAAVUT128F92F74F7,cfec968d-6c1d-4e0f-9a77-9187cb860db9,62ab376b-2b36-465e-8a0d-d554b8f60b11,ABBAmania,1999,11,United Kingdom,3f6e5131-8870-32a2-a329-dd27f9d8a95a,Album,musicbrainz
TRAAWDD128F4295B6D,f44a1299-24bc-4186-a284-a6654d7af416,2b4d1362-e3fe-40fe-ab11-bbcb1c0f04b3,The Rhythm & Blues Album,1965,,United States,03c6839d-498a-4891-b286-54a6c318e961,Album,musicbrainz
TRAAWDK128F92E2A17,e49b80b9-56a9-4b90-814c-7f349617a6cd,50ca2fd8-c6d3-4aad-b398-4b226b254cf4,Ready to Die,1995,4,United States,5afcfeac-118a-35e6-af0d-35ec9003354d,Album,musicbrainz
TRAAWSJ128F933D7EF,9235e22e-afbd-48f7-b329-21dae6da2810,71f016ef-6c2e-4368-a324-552b4e1c483f,City to City,1978,,United States,238c3fb4-5792-342b-b217-02f66298b424,Album,musicbrainz
TRAAWUM128F426009A,4dde328d-38c0-4af5-9326-74dabe5280f6,28541f8d-6acb-4428-a1a8-ca8fa7cc5af0,Once More,1980,,Italy,21ef0719-dca9-47ee-ad8b-14ebce2d7bf7,Album,musicbrainz
TRAAWWS128F14830B4,ed9f1410-5c27-49cc-90e6-66525457583e,e1a1315b-0e16-4b9c-bcc0-4ddadfabb649,Stulna kyssar,1992,,Sweden,afac7af7-a8f2-3c74-85ca-4aeaff2fe4e9,Album,musicbrainz
TRAAXUE128F4272446,29244412-65ee-4866-affc-33a0193fbd08,154fd00d-7b6e-475e-8d56-1c238f41e81e,Broadway,2012,8,[Worldwide],257f7a5a-796f-45cc-91f1-4fc8e4d09669,Album,musicbrainz
TRAAXZC128F9360095,ce72b0c7-a0aa-4530-a2d8-b0b96a466fa9,2ca2ec5a-110b-4a9c-b2a8-f05a9579e890,Charlie Mars,,,,bd7e5e50-477b-3d59-8040-5490cb223416,Album,musicbrainz
TRAAYIG128F932356C,20e7cf2b-2e5f-4807-a61c-c9d60078083b,76031375-3002-4be5-bce6-683ebdd02b1f,Everything She Touched Turned Ampexian,2009,4,United Kingdom,90aae241-8cb0-3672-a909-c7ac8b5c99b2,Album,musicbrainz
TRAAYOD12903CED8AC,6ecadc75-d5d6-4535-a6e4-d39082dc11b9,1a3dceec-d977-4005-9170-aa764a8cd6d9,30 jaar zwervend bestaan,1998,,Belgium,c5dc3d3a-efe8-3bd6-8524-85e33062494c,Album,musicbrainz
TRAAYRC128F428DCA3,bbc80b1d-4272-4fbf-8d7f-a1c1873ebf36,73d22a8e-d6a5-4d9f-a1eb-3329861ae24a,83-85,1990,,Spain,99391fe2-df54-3952-a8d0-475e44a2ad16,Album,musicbrainz
