track_id,title,artist_name,release,year,duration,artist_mbid
TRZZBFD128F935F407,Portrait Of A Man,Screamin' Jay Hawkins,Greatest Hits,1972,259.082,185af318-55c7-405f-8b00-0fa308e56da9
TRZGHYO128F93333E3,Radio Controlled,Zombie Nation,Zombielicious Remixes pt. 1,2009,301.34812,e26fa4b0-ea73-4a33-a745-44077a0d5a59
TRCUWOY128F4237F56,Storia Di Periferia,Dik Dik,16 Grandi Successi,0,263.47057,7cdc6ac2-6909-4331-949f-ea072aa62207
TRGFTME12903CB256C,Kensington,Azeda Booth,In Flesh Tones,2008,224.65261,7178842f-6ad6-4925-87e8-3bd312db87c5
TRWUYAI12903CED54E,Lillasvart,Kristian Anttila,Natta de mina,2003,310.43873,ea1644d2-58c7-4c53-ac0b-ae9810803f56
TRHVUHE12903CEB2F3,Misery,Colony 5,Fixed,2005,269.16526,0dc6a8e4-30d5-43a3-b3d2-98bdd8c43362
TRETYWO128EF34A500,Hello Hello,Daniel Boone,Beautiful Sunday,1973,185.3122,d8f1f54d-6b46-425e-9d16-f5cf88628162
TRTICVQ128F426246D,No More Ideas,Union 13,Why Are We Destroying Ourselves,0,81.99791,4885cab8-799e-4be5-b773-bbb07c57e02c
TRGOFYY128F4263B9A,Jim Beam And The Coon Ass,Corrosion Of Conformity,Blind,1992,156.96934,0f6e80ef-1972-4dee-8896-dc9955f1beeb
TRKGPGN128F4265B2E,Là-Bas,Noir Désir,En Route Pour La Joie,1999,159.18975,e6358374-5eea-4205-be22-382ed6df493c
TRJSHTG128F9303EF4,Temperate,Moebius,Blotch,0,224.522,8bcd9471-5380-470a-931d-f15242576caa
TRKOHMG128F934700B,La Culebra,Mariachi Vargas de Tecalitlan,Las Numero 1 Del Mariachi Vargas De Tecalitlan,0,167.10485,0af02af6-311a-4ce3-a3e3-9b17c498f297
TRAIKWG128F4242501,Sir Francis,Zed Yago,The 20th Anniversary Of Zed Yago Live,0,236.09424,6f6d3dc3-1d14-4b31-bebe-1d497d8dcfa7
TRBZALM128F931328C,Do you want me,Rocket City Riot,Pop Killer,0,195.99628,5068effc-0cce-44ac-be78-a0bd3d35497b
TRYYIHY128F9330E91,Dub Period,Skream,Skreamizm Vol. 2,2006,252.26404,fb5ee67e-e31a-40cf-8b06-5f1a0f53529a
TRLYTZT128F42A65DA,Stood,Williams_ Kathryn,Little Black Numbers,0,201.1424,e479c9f2-730c-4044-b554-e967320d57e9
TRDQEHK12903CB4815,Egypt,1200 Micrograms,1200 Microgrammes Remixed,2006,505.80853,bf346e67-b4b1-41c0-bcc7-a8f4df4fbbbb
TRQRGLU128F149C16C,Dead Souls [Re-mastered],Joy Division,The Gothic Collection [w/interactive booklet],0,295.31383,9a58fda3-f4ed-4080-a3a5-f457aac9fcdd
TRRBQMS128F149AC06,Lil Star (Radio Edit) (Feat. Cee-Lo),Kelis featuring Cee-Lo,Lil Star,0,193.88036,1239d1bc-cc09-43e0-bcd0-374f60346138
TRJEMQJ128F9333454,T.M.D.,Marshall Crenshaw,#447,2001,202.70975,3a389027-814a-4f99-8f12-44e5276595cf
TRYDAHU128F931B74C,Les Cowboys De L'an 2000,Menage A 3,Souvenir,0,264.98567,47370a19-efff-4c14-a16f-c59d2205a4d4
TRXLLGU128F930AA55,Lets Have Some (feat. Wordsmith),Dr. Syntax,Off the Radar: Vol.1,2006,274.38975,4ebed498-fcda-4d72-bc65-fb1f034db61b
TRUUHJO128F426D430,Victim,Diamond Head,What's In Your Head?,2007,237.45261,d3dd86df-2f57-4a97-8100-d09915343f60
TRVVPCP128F932D57D,Heaven In Hell,Hack Mack Jackson,How High The Moonshine,0,185.86077,ec612932-cf7b-419e-8344-60b2ea9f2ee7
TRMLHWV12903CF59FA,Esperanza (Instumental),Bluezeum,Put Your Mind On Hold,0,216.99873,eb634b8e-cf88-47fa-a151-cfc2ce5df1e6
TRACNGW128F4295845,Devilscum,Scum of the Earth,Sleaze Freak,2007,179.43465,6cd75490-d921-4325-b634-2db232f26055
TRDMMNG128F92EFAE5,Eu Sei Que Vou Te Amar,Antonio Carlos Jobim,Antonio Carlos Jobim em Minas ao Vivo Piano e Voz,0,127.03302,7a8dbe84-f4c0-4457-bfa3-edced1f8cde0
TRPICIN128EF3651C8,Rocket In Pocket,Bugs Henderson,Heartbroke Again,0,381.51791,904af267-ccfb-4887-9a0e-0e733a7fb6fa
TRXRFDX128F92F8DCD,Bye Bye Blackbird,Tommy Smith,Spartacus (featuring Kenny Barron),0,290.5073,c511b970-7016-4bd4-b54a-1cd1cb06bb34
TRACGNG12903D021AE,Powershifter,Fear Factory,Mechanize,2010,231.41832,c17f08f4-2542-46fb-97f3-3202d60c225a
TRNYMTZ12903D0E0C4,Don't Be Like That,McKinney's Cotton Pickers,Jazz Foundations Vol. 54,0,171.54567,16f74a5b-bb94-4025-93e4-ca56ece9f947
TRPHMHJ12903CBB91C,Answer The Question (Retrospective Radio Edit),Svenson & Gielen,Answer The Question,2003,215.06567,dbf52b23-806e-4d00-828b-8622b4b5671f
TRVQVLS128F4266535,I Remember,Figurines,I Remember,2005,156.05506,35d8c40f-6c73-447f-9dc0-2e90d2aa38cc
TRARHWW128F426454E,Wo Hen Wo Chi Xin (Album Version),Andy Lau,Lang Man Qing Ge Pian,0,254.9024,f738bc44-5806-4013-aee4-5469c0c2ec30
TRVEZMY12903CC7B26,My Girl And I,Kite,Kite,0,216.81587,f1625070-9503-45c9-93ea-98f3c37a2734
TRNTMIW128EF340A9E,Nice of Me,Danielson,A Prayer For Every Hour,1995,259.26485,86e3f0dd-7746-4a57-81d4-d700639042f9
TRGLDLR128F4272ADD,Low,Young Dubliners,Absolutely,2002,266.47465,47771924-7047-4dbd-b6df-6c0f3bcb6677
TRAQKLY128F930AA34,Handshake,Baddies,Holler for My Holiday,2009,94.04036,8321207f-3e9b-49bf-b0e7-90762236cc9f
TRVZZPY128F92D98EA,Moon Dancer,Andrew Vasquez,Wind River,0,89.5473,0108b7ca-144a-43d9-9446-02f82c7dd9b0
TRQJVOQ128F426CCD0,Sirens Chant,Devil Sold His Soul,A Fragile Hope,2007,255.86893,3e8453dd-9323-40ec-a041-953fba1f9870
TRRBIQY128F930F544,Lay Down Your Burden,The Brother Kite,Waiting for the Time To Be Right,2006,315.8722,157336b8-55f2-4dc9-88b4-d2b101393332
TRNUKGG128F92F3DA1,Day By Day,D.j. Pedro,Day By Day,0,322.35057,0a432c07-a114-4c42-a17f-88885bd65f70
TRAWBJQ128F931AC8D,Mein Glück,Moses Pelham,Geteiltes Leid I,0,318.58893,72fa3758-f373-4c0f-b3d7-7328165105a4
TRLEBAW128F4271C00,Supasong,X-Press 2,Muzikizum,2002,305.3971,96edeebb-d173-41e9-a1c2-5ae52959ab41
TRNGQXQ128F92E51D7,Can you see the real me,Pete Townshend,Scoop 3 (Re-Release),2001,259.86567,fb147b8f-0144-4418-acaa-90b2d9779840
TRDMLXH128F42576A4,Never Gonna Say Amen,Denver and the Mile High Orchestra,Swing!,0,356.33587,e0c8e1eb-73fe-40b3-9abd-fd68ad34f9fb
TRVCIEL128F92F789F,Button Your Lip,Dislocation Dance,Cromer,2005,321.64526,bd5c4077-f2e6-4d57-923d-f85a3c8d5010
TRPRWUR128F4293D45,The Journeyman,Muriel Anderson,Wildcat,0,229.53751,7cc39fca-56bd-4149-a664-364938755cb4
TRXFHHZ128F9337382,Johnny Mekon,Jet,More Light Than Shade,0,181.81179,4efa55ba-93cf-497f-baf3-2ca9da7e193e
TRPVAUI12903CAC59C,At A Georgia Camp Meeting,Scott Joplin,Ragtime Piano Rolls: Volume 4,0,157.54404,aec8a328-d2e8-4780-b2ea-318c7f8d6f75
TRNHHIR128F9306D29,Last Kiss,The Beauty of Gemina,A Stranger to Tears,2008,250.122,1d475063-14af-4225-8004-14cf63286e1d
TRDUSPF12903CE3388,You Got Me Back,DJ Mogwai,Phat Beat - Best of 2009_ Vol. 2,0,431.75138,d700b3f5-45af-4d02-95ed-57d301bda93e
TRLHLJJ128F93206C6,Angelique,Daniel Lemma,Rebound,2009,230.81751,deeafc16-7446-45ca-ac68-fad58ac3edd4
TRPYFAJ128F92FBBE4,Satisfied Mind,Faron Young,Its Four In the Morning,0,137.66485,5799b78e-a103-427b-8a1d-0bfeaddbb0c0
TRAFWXO128F4239778,I'm Alive,The Shaky Hands,The Shaky Hands,2007,198.19057,62470569-9793-49ad-adea-39a788bb6728
TRVEUQW128F9310023,Shadow Boxin,Shabaam Sahdeeq & DJ Revolution,Stratagize,0,248.99873,886e400f-4920-4e08-8e81-b3578b598300
TRHHDCC128F422B2BA,Intro (LP Version),Post Stardom Depression,Ordinary Miracles,0,20.21832,4a0f6ebc-3440-463f-95ed-40aa0c7e05c2
TRXCWYH128F422C03D,Daddy O,Wideboys ft. Shaznay Lewis,Daddy O,2008,334.34077,a4f38519-6cd8-4978-8280-6bb7a54561ba
TRMXAFQ128F145D9B8,Say It Isn't So (Instrumental),Billy May & His Orchestra,Naughty Operetta! / Billy May Plays For Fancy Dancin',0,139.31057,5ccd3ed0-9a0e-412e-93b4-9ad5dd151547
TRMXQMC128F428CCDF,See A Penny (Pick It Up),YACHT,I Believe In You. Your Magic Is Real.,2007,221.93587,f6a0a03f-3b2f-4d3a-b4b4-34ca4ce7f3cb
TRGUMRI12903CA79FF,SMS,Medlz,aufgetaucht,2009,212.87138,c6760e0b-2346-421e-acb9-65260cc4cefa
TRXKADE12903CD4789,Nemurenai Yoru,Mayumi Kojima,Blue Londo,0,134.5824,8defddcb-85ab-4283-a1a8-68405fa98b6b
TRETCJM128F92FFC46,Aa Yaaraan,Midival Punditz,"Music from the Film: ""Let's Enjoy",2007,234.47465,ef1bf752-c7bb-45ca-8f9e-e7e8e18fe26e
TRYUJTM12903CD8E10,Somebody Stole My Gal,Johnnie Ray,The Best of Johnnie Ray,2007,151.90159,a74dcc96-ed1b-4b0c-8492-cc5345d629d8
TRBWNTD12903CD9905,We're All Leaving (Bonus Track),Karine Polwart,This Earthly Spell (Expanded Edition),0,280.45016,5ce987a5-9e9e-499a-a2d0-1582c1d8410b
TRINFHP128F4263B6C,Beat Wise,Herbie Hancock,Perfect Machine,1988,351.92118,27613b78-1b9d-4ec3-9db5-fa0743465fdd
TRBPYRJ128F92FA362,My Telephone Artist (Has Come and Gone),Space Opera,Space Opera,0,226.84689,87771c09-2b35-4af0-8ac8-67e6f81c48ec
TRLGDHK128F4228C2E,Devil Is A Busy Man,Sunnyland Slim,Chicago Blues [Parrot Blues],2006,168.77669,25854cde-8c11-477b-8242-a86de1a4a003
TRYAUYZ128F1467F58,Laughing Boy From Nowhere,Simon Dupree & The Big Sound,Part Of My Past - The Simon Dupree & The Big Sound Anthology,0,170.16118,996da49b-00de-4485-b5ae-4f184d11cd4f
TRWQRZJ128F14A8C76,Monday In The Mountains (Live - San Francisco. CA),Kate Wolf,The Wind Blows Wild,0,232.82893,d28a93fc-30a4-49e9-a8a5-68728d37900f
TRQKCTV128F426E70B,Rock Island Line,Stan Freberg,The Very Best Of Stan Freberg,1990,202.65751,04190e55-fc9d-4552-843c-0a2610a0ced8
TRERTKS12903CDCD58,Wait So Long,Dion Mavath,Gaga In da House_ Vol.3,0,393.42975,9d713904-4183-439b-bc69-6a694e18fe37
TRYBYXG128F93384ED,Tell It Again,Jeannie C. Riley,Praise him,0,161.2273,79251d77-dd72-46d3-a324-61c27760ce25
TRRAVVR128F42552F0,Cumbia Villera,Yerba Brava,Cumbia villera,2000,186.90567,12be7648-7094-495f-90e6-df4189d68615
TRGZWEY128F4220620,Chega De Saudade (No More Blues),Osi,Whisper Not,0,287.16363,fc19c778-f7c9-40e4-85d1-427236ef8b4d
TRRDHRI128F42A0FED,For The Sake,Armored Saint,Delirious Nomad,1985,261.40689,8ac580bd-5b33-4ee3-83df-8d406908e300
TRJWNYK128F1470449,Devastation,Suicide,A Way Of Life,1988,243.90485,7a0f02e0-0ab8-4a62-9e14-c6925cfaed07
TREACWJ12903CA898D,The World Needs A New...,Get Well Soon,Vexations,2010,254.40608,7bfdd0ec-adc2-455e-bd1f-eba31d64aa3a
TRKLSVO128F93303C2,A Blues For Buddha,The Silencers,A Blues For Buddha,1988,186.33098,661ddbff-8045-492d-a9f3-5076d74639e6
TRATNUJ128F1451E0C,The Possibilities of Loving You,Francis Dunnery,Welcome To The Wild Country,1991,216.37179,211256ad-1a39-4bb9-a216-24a2d985343e
TRVSLDK128F4247008,Sidewalks Of New York,Dan Zanes Feat. A Cast Of Thousands!!,Rocket Ship Beach,0,207.80363,954c355b-99a5-4a0d-98f1-78313aca5158
TRSCHCP12903CEDF6D,Punk Rock Dream,Ken Yokoyama,Four,0,203.33669,8f666767-66b5-4ee9-ac98-09ecec00772c
TRIEQOG128E07823FB,Pretty Persuasion,R.E.M.,The Best Of R.E.M.,1984,228.25751,ea4dfa26-f633-4da6-a52a-f49ea4897b58
TREACFG128F9335635,Its Going Down,Will Atkinson,Its Going Down,0,454.79138,2d01ddb4-db29-4a1d-bf6e-c6c9c9dd9e04
TRMVUAL128F9335C94,Captain Nemo (2009 Digital Remaster),The Michael Schenker Group,Built To Destroy (2009 Digital Remaster + Bonus Tracks),0,200.98567,db005731-6c46-4e7d-83e3-21f80189884a
TRZKSHU128F92FC367,Girl,Cormega,Born And Raised,2009,176.87465,6e437c13-304a-4b5e-afd0-ec9540c96c9d
TROQSGT128F92D3D95,Ouch,N-Dubz,Ouch,2008,230.39955,61783f55-23be-4199-b944-e322840a1f10
TRFJUWL128F148AFEF,Voir Le Jour,Lokua Kanza,Plus Vivant,2005,234.16118,d7cadfa9-9639-41a9-afd2-a38060d250bc
TRIHXPR128F930485D,Arctic Song,Ekoostik Hookah,Under Full Sail,0,350.35383,f6f33c55-8156-482b-a071-fc58824e9551
TRVJJDU128F148529D,My Boyfriend's Back,THE CHIFFONS,Sweet Talkin' Girls: The Best Of The Chiffons,1966,121.20771,1e6b7643-8dac-4b0e-a8d1-4abf6211b882
TRCRLNL128F92FE126,Farewell Blues,Tony Rice,Tony Rice,0,191.58159,ca90a5b0-cb18-4f94-9c14-116826fcc422
TRODBPQ128F145F558,Big Time,Medeski_ Martin & Wood,The Dropper (Digital Download),2000,203.28444,6eed1ed9-ab02-45cd-a306-828bc1b98671
TRTWHNV128F427B209,Filthy Greedy Guilty (Album Version),A Global Threat,Until We Die...,2000,155.14077,c073f75f-e99b-4584-b954-d5488d87b970
TRLNJGM128F4264B88,Brainless,The Urge,Receiving The Gift Of Flavor,1995,158.40608,4c35ea75-02d5-4a7a-8b01-f17effc07580
TRMZSCN12903CF3F7E,The Dreaming Mind,Nevermore,Nevermore (re-issue + Bonus Tracks),1992,236.45995,7d093650-89be-4108-842b-ba7f5367504b
TRBGMBZ128F4281819,Sons of the Serpent,The Electric Hellfire Club,Electronomicon,2002,289.20118,aa15d6d2-c544-4064-87eb-1dde875c855b
TRWDGJV128F42A6A1C,Forgive Nothing (LP Version),A Faith Called Chaos,Forgive Nothing,2004,189.6224,9e658c7a-5baa-494e-9753-4ba49da443d9
TRCWGCN128F425E1B4,Inna Di Dancehall,Toddla T featuring Serocee,Do You Know Pt.2,2007,198.37342,88181b07-1c34-4de8-be29-3a77780d8209
TRPUKKW128F42620AC,Dark Secrets,Collin Raye,The Walls Came Down,1998,110.23628,49bf0641-e3cd-462f-8aab-5346ef213b01
TRPEIVN128F42326D4,Smile (LP Version),Super Deluxe,Famous,1996,218.04363,c795a5df-7327-4375-b39f-89b6141b827f
TRPMLRS128F4290694,Please Love Me,Albert King,Live Wire/Blues Power,1968,238.0273,10f89195-3af1-46f5-aa36-504aa3309f5a
TRLTPLY128F42994CE,Volveras,Mijares,Coleccion Suprema,0,214.46485,faaf1297-2dd0-447d-b562-006876a5f803
TRNRZEN128F427A069,Mighty Mighty,Earth_ Wind & Fire,Gratitude/Open Your Eyes,1974,184.99873,535afeda-2538-435d-9dd1-5e10be586774
TRRWEOK128F92D27E5,Shapes_ Electric,Silje Nes,Ames Room,2007,215.77098,82b34cfe-765e-4179-96cc-6007fffead5a
TRVIEQA128F92F1BC3,Mutagen (Album Version),Wipe The Needle,Life Lost In Music Vol 2,0,375.09179,5fbd8d45-ab85-4c67-bcca-1a260ac452c5
TRYWQWQ128F424E1EA,Paint It Black (Agony Scene) (The Agony Scene Album Version),The Agony Scene,The Agony Scene,2003,207.5424,549f5c76-8540-4fe5-91bb-a55bd01b53a0
TRITAQK128E0795DED,Calor Humano De Hierba,Celtas Cortos,Tienes La Puerta Abierta,1999,268.06812,e41b4871-a98d-494a-8cea-b9ba1a3ade1b
TROPWQF128F92E53C3,Leviathan (live),Covenant,In transit - Live,0,347.71546,c0bbc2a0-e986-4856-bada-ee6f684d47f7
TRGFYPW128F934EA95,Chanul,La Castaneda,Trance,0,246.93506,b80923ea-1135-4401-a15e-a4cfbe5e94ed
TRVAULF128F42499FE,Singing Cowboy,New Riders of The Purple Sage,Live On Stage,2004,285.54404,64c8fe79-1f93-483f-aace-b6a6e379e7d2
TRHBNDV128F92EEE8E,You're Nobody Til Somebody Loves You,Jessica Molaskey,A Kiss To Build A Dream On,0,351.18975,6943f887-27c7-4006-a451-f9c28f7408b0
TRSXSKD128F4265966,Won't Be Coming Home (S.I.N.),Ozzy Osbourne,No More Tears,1991,287.13751,8aa5b65a-5b3c-4029-92bf-47a544356934
TRMNULW12903CBD192,What A Difference A Day Makes (LP Version),En Vogue,EV3,1997,252.47302,9a883a69-436b-4d17-9ffd-122a9bf4419a
TRBCXUF128F147CC26,Journeyman (Live In Dortmund),Iron Maiden,Death On The Road,0,422.60853,ca891d65-d9b0-4258-89f7-e6ba29d83767
TRFTSYC12903CCC32F,Behind Closed Doors,Q-Project,Renaissance Man (Full Version),2006,359.96689,b6cedebe-6d44-48d9-9a80-7d997c1b3fe6
TREJFQN128F4295147,King & Queen (babylon),Lord Creator,Don't Stay Out Late/ Lord Creator Greatest Hits,0,183.19628,07704e4c-9d00-4a99-a58b-e23e72a94951
TRIAKZU128F428B65E,I've Done It All Before,Andi Sex Gang,Blind!,0,198.16444,ed0a899e-8eea-47be-94f5-472cf3aca67f
TRPNVYC128F4278E05,Ready To Fly,Dhany,Quiero Respirar - Album,0,217.39057,c6ac0dc7-c419-4db2-b4cf-b7d25c6eaf45
TRBABGU128F93391B2,Murphy Lee,Murphy Lee / Zee,Murphy's Law,2003,268.90404,b4984b38-6dad-4d8f-9942-a15131f37f98
TRAAZPJ128F4292DB5,Isla del Luna,Lisa Lynne,Seasons Of The Soul,1999,316.49914,4bf9b00d-5f32-4b6f-badb-ad7bda086cb9
TRHIUND128F932CAA7,Redd's Funk,Four Piece Suit,On The Town,0,111.5424,9b3500a3-0e5f-4eca-875b-d34d9d27d9c7
TRUDKJH128F42340AB,Paradise (D-Tune vs. Sunics Remix),Overdrive Division,Paradise,0,368.03873,e5365bb3-2f01-4228-928e-770f79440b65
TRWMHTQ128F4275853,Todos somos angeles,Ángeles del Infierno,Todos somos angeles,0,144.40444,df8c54f5-e3f2-44f3-ac45-405ff0abe2eb
TRMUOHE12903CA8ADA,Back Porch,The Presidents of the United States of America,Pure Frosting,1995,180.08771,7509421d-1074-442f-be8f-b526167afcb3
TRRPPPM128F930A3D4,On My Grizzly,Solomon Childs,Castleton Ave,0,228.362,6e030a39-6301-4b8d-9ccc-5b93de34fa74
TRNCJAB128F4261991,Brimstone Rock,Jehst,Falling Down Instrumentals,2003,232.22812,ee8dbba0-b236-4847-9162-c5f1ff2c6567
TRVNPOL128F428C228,Pain In My Life (Featuring Trey Songz) (Explicit Version),Saigon,Pain In My Life,0,249.36444,5251b5a0-3e3b-4d07-a152-585009575310
TREAEIS128E0782FAD,How's Your Mother (Explicit),Derek & Clive,Come Again,0,280.31955,ceccf717-0fa0-4cd5-ac32-115dd735e5f2
TRIJMAT128F934D0E4,The Alaskan Rag,Joseph Lamb,Joseph Lamb: A Study in Classic Ragtime,0,197.25016,8843efc3-5a57-47eb-9d83-c23ab0e3d61a
TRLHRCU128F426AFA6,Trust Is Overrated,The Duskfall,Lifetime Supply Of Guilt,2005,131.86567,0615113b-38c3-49d5-9e7d-cb3261ca1658
TRDHLDM128F424377A,Very Temporary,Bob Mould,District Line,2008,191.26812,d7f5305a-15fc-4af4-a61b-f6f45510cc8f
TRAWNSD128F426B407,You Came (C-Base Radio Cut),Mario Lopez,You Came,2008,194.0371,bd9b269f-cc07-4642-a03c-6a3ea243c72e
TRPFWPR128F4241226,Paholainen,Juliet Jonesin Sydän,Albania,1987,198.76526,168db15c-51e7-43a2-bc9a-1849a08c57ae
TRBHBFC128F4250BEF,Nah Climb,Ward 21,U Know How We Roll,2003,190.53669,427b2a44-165c-4607-8597-4b90caa9f0f8
TRIYENZ128F932ABC2,U-Trau,Riddle Of Steel,Until The Shaking Stops - A Salute To Jawbox,2004,174.54975,6f18ce21-e431-42ba-93b9-4376b85e1a45
TRCRBPQ128F93050DF,Sons Of Nothing,Krum Bums,Same Old Story,0,258.40281,85e80033-99ef-473c-835e-6610eb95259e
TROTBFE128F930F7EC,In Winter (Live Version),Kittie,Safe,2002,306.05016,7677be48-16e9-4c84-9365-a69dd6f2df55
TRGGAZC128F427E2CB,Holdin' On (To The Love I Got),Barbara Mandrell,Super Hits,1997,135.54893,f9af8ba9-78d9-4355-85f5-f3c8abdaa31f
TRZCIEZ128F426B1C4,Introduction,Céline Dion,Celine Dion,1992,75.28444,847e8a0c-cc20-4213-9e16-975515c2a926
TRUPIIN128F932FBAB,All I want is to poke your eyes out,The Spookshow,Psychosexual Chapter 2,2006,114.99057,caa0db3b-8e66-4219-84f9-e3507f9c781c
TRXSKEJ128F424E59E,Stars N Stripes (Album Version),River City Rebels,Racism_ Religion And War,0,198.55628,2626f72a-2356-49a2-a79e-19247755d9b6
TRBVRMW128F426376A,Second Sight,Lush,Gala,0,162.29832,acc07ffc-ed8b-45a1-a70a-b518618ac649
TRGUVML128F9353A70,Time,AL-PHA-X,Slowdown (alpha x),0,206.47138,9e28cf80-8176-4bb3-acaf-5d2353af5de8
TRWDSKC128F426902E,More Trouble,Zounds,Curse of the Zounds + Singles,1993,148.40118,cfa8d24d-efca-44c0-87af-09421183005c
TRZMYYX12903CF2B6C,Epoque de fou (Remix),Scred Connexion,Selexion 2,0,191.32036,184e0e76-67b1-4eb9-9e9a-185e5d138bbc
TRHXZOO128F424523D,Urban Indian,Amon Duul,Die Losung,0,327.78404,cd7b53ed-3d81-4199-b523-56c61206c1a3
TRLVGNR12903CD0DC1,Es ist deins,Franky Kubrick,Mein Moneyfest,2005,226.53342,60b3a14d-1ac2-409e-bd5d-f9349fadba94
TRABZFX128E07968EC,Don't Look Any Further  - 13 Studio Extended Version,DENNIS EDWARDS FEAT. THE WEATHER GIRLS,Puttin' On The Hits,0,240.14322,b5743bd6-145e-4fe4-ae14-44eed7be5f86
TRKQBQS12903CEC070,I Love You Like A Madman,The Wave Pictures,I Love You Like A Madman,2008,181.86404,48a0672b-7852-490f-ae3f-3d4324e510ee
TRSODKB128F92F45ED,Intelligence Towards The Crown,Absu,The Third Storm Of Cythraul,1997,116.71465,e4d0504d-a0cc-486e-9f8f-32da470698a5
